system   D            wsystem.c:583  maybe_parent_dir                 [   0.00029] Also searching C:\Users\BSP-B.Tech\Documents\Visual Studio 2012\Projects\Load Runner 1.0\
display  D   display_settings.c:191  debug_display_settings           [   0.11336] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.11338] Score is : 715
display  D   display_settings.c:191  debug_display_settings           [   0.11340] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 6/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.11343] Score is : 714
display  D   display_settings.c:191  debug_display_settings           [   0.11345] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 7/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.11347] Score is : 713
display  D   display_settings.c:191  debug_display_settings           [   0.11349] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 8/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.11351] Score is : 712
display  D   display_settings.c:191  debug_display_settings           [   0.11353] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.11356] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.11358] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.11360] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.11362] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.11365] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.11367] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.11369] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.11371] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.11374] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.11376] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.11378] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.11381] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 6/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.11383] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.11385] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 7/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.11387] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.11390] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 8/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.11392] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.11394] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.11396] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.11399] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.11401] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.11403] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 2/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.11405] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.11407] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 3/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.11410] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.11412] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 4/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.11414] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.11416] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 5/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.11419] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.11421] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 6/1
